;FILENAME;URL;TYPE;FICHIER;MASQUE;LUMINOSITE;LUMINOSITE-CORR;CONTRASTE;CONTRASTE-CORR
7;COVID-8;https://sirm.org/category/senza-categoria/covid-19/;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-8.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-8.png;;;;
8;COVID-9;https://sirm.org/category/senza-categoria/covid-19/;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-9.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-9.png;;;;
45;COVID-46;https://sirm.org/category/senza-categoria/covid-19/;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-46.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-46.png;;;;
63;COVID-64;https://sirm.org/category/senza-categoria/covid-19/;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-64.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-64.png;;;;
136;COVID-137;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-137.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-137.png;;;;
146;COVID-147;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-147.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-147.png;;;;
167;COVID-168;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-168.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-168.png;;;;
177;COVID-178;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-178.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-178.png;;;;
218;COVID-219;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-219.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-219.png;;;;
231;COVID-232;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-232.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-232.png;;;;
