;FILENAME;URL;TYPE;FICHIER;MASQUE;LUMINOSITE;LUMINOSITE-CORR;CONTRASTE;CONTRASTE-CORR;LUMINOSITE-CORR2;CONTRASTE-CORR2
7;COVID-8;https://sirm.org/category/senza-categoria/covid-19/;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-8.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-8.png;212.64699500005597;210.4211474144585;0.5887850467289719;0.5838509316770186;209.76109484233967;0.5875
8;COVID-9;https://sirm.org/category/senza-categoria/covid-19/;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-9.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-9.png;217.4175232939229;184.90200333329605;0.7770034843205574;0.7770034843205574;184.2419507611773;0.7824561403508772
45;COVID-46;https://sirm.org/category/senza-categoria/covid-19/;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-46.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-46.png;213.76310108388049;200.43345152738783;0.7647058823529411;0.7647058823529411;199.7733989552691;0.7700348432055749
63;COVID-64;https://sirm.org/category/senza-categoria/covid-19/;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-64.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-64.png;221.6388630999653;201.8588158969139;0.5;0.5;201.19876332479515;0.5029585798816568
136;COVID-137;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-137.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-137.png;236.280802228163;221.9161306920504;0.8085106382978723;0.8085106382978723;221.25607811993163;0.8142857142857143
146;COVID-147;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-147.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-147.png;209.38507399246092;201.8027762552992;0.5644171779141104;0.5644171779141104;201.1427236831804;0.5679012345679012
167;COVID-168;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-168.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-168.png;201.0895291998971;193.4767396337849;0.8411552346570397;0.8411552346570397;192.8166870616661;0.8472727272727273
177;COVID-178;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-178.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-178.png;202.85462131296072;191.4814599389269;0.9921875;0.9844357976653696;190.8214073668081;0.9921568627450981
218;COVID-219;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-219.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-219.png;232.59909844408895;220.7772619993065;0.4447592067988669;0.4406779661016949;220.1172094271877;0.4431818181818182
231;COVID-232;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-232.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-232.png;190.49229874386197;172.82447623628372;0.9921875;0.9921875;172.16442366416496;1.0
